x1 y1 alt1 x2 y2 alt2
423223.1265426172 2931925.4378260137 66.8976607146844 423183.34578598925 2931965.473269682 66.76742452218386
423223.1265426172 2931925.4378260137 66.8976607146844 423183.35575103236 2931965.4732098416 67.13742434056743
423223.1265426172 2931925.4378260137 66.8976607146844 423183.35575103236 2931965.4732098416 67.13742434056743
423223.1265426172 2931925.4378260137 67.22766071468442 423183.35575103236 2931965.4732098416 67.13742434056743
423223.1265426172 2931925.4378260137 67.22766071468442 423183.35575103236 2931965.4732098416 67.52742434056742
423223.1265426172 2931925.4378260137 67.51766071468441 423183.35575103236 2931965.4732098416 67.52742434056742
423223.1265426172 2931925.4378260137 67.51766071468441 423183.35575103236 2931965.4732098416 67.89742434056743
423223.1265426172 2931925.4378260137 67.51766071468441 423183.35575103236 2931965.4732098416 67.89742434056743
423223.12660909217 2931925.4489017683 67.7776604458135 423183.35575103236 2931965.4732098416 67.89742434056743
423223.12660909217 2931925.4489017683 67.7776604458135 423183.35575103236 2931965.4732098416 68.22742434056744
423223.1166440212 2931925.448961577 67.98766062736198 423183.35575103236 2931965.4732098416 68.22742434056744
423223.1166440212 2931925.448961577 67.98766062736198 423183.35581754276 2931965.484285597 68.51742407204475
423223.1166440212 2931925.448961577 67.98766062736198 423183.35581754276 2931965.484285597 68.51742407204475
423223.1166440212 2931925.448961577 68.15766062736196 423183.35581754276 2931965.484285597 68.51742407204475
423223.1166440212 2931925.448961577 68.15766062736196 423183.35581754276 2931965.484285597 68.75742407204473
423223.1166440212 2931925.448961577 68.28766062736196 423183.35581754276 2931965.484285597 68.75742407204473
423223.1166440212 2931925.448961577 68.28766062736196 423183.35581754276 2931965.484285597 68.95742407204474
423223.1166440212 2931925.448961577 68.28766062736196 423183.35581754276 2931965.484285597 68.95742407204474
423223.1166440212 2931925.448961577 68.36766062736197 423183.35581754276 2931965.484285597 68.95742407204474
423223.1166440212 2931925.448961577 68.36766062736197 423183.35581754276 2931965.484285597 69.12742407204473
423223.1166440212 2931925.448961577 68.40766062736196 423183.35581754276 2931965.484285597 69.12742407204473
423223.1166440212 2931925.448961577 68.40766062736196 423183.35581754276 2931965.484285597 69.24742407204474
423223.1166440212 2931925.448961577 68.40766062736196 423183.35581754276 2931965.484285597 69.24742407204474
423223.1166440212 2931925.448961577 68.41766062736198 423183.35581754276 2931965.484285597 69.24742407204474
423223.1166440212 2931925.448961577 68.41766062736198 423183.35581754276 2931965.484285597 69.33742407204474
423223.1166440212 2931925.448961577 68.40766062736196 423183.35581754276 2931965.484285597 69.33742407204474
423223.1166440212 2931925.448961577 68.40766062736196 423183.35581754276 2931965.484285597 69.39742407204474
423223.1166440212 2931925.448961577 68.40766062736196 423183.35581754276 2931965.484285597 69.39742407204474
423223.1166440212 2931925.448961577 68.39766062736197 423183.35581754276 2931965.484285597 69.39742407204474
423223.1166440212 2931925.448961577 68.39766062736197 423183.35581754276 2931965.484285597 69.41742407204475
423223.1166440212 2931925.448961577 68.38766062736198 423183.35581754276 2931965.484285597 69.41742407204475
423223.1166440212 2931925.448961577 68.38766062736198 423183.3558840532 2931965.495361353 69.41742380352218
423223.1166440212 2931925.448961577 68.38766062736198 423183.3558840532 2931965.495361353 69.41742380352218
423223.1166440212 2931925.448961577 68.37766062736196 423183.3558840532 2931965.495361353 69.41742380352218
423223.1166440212 2931925.448961577 68.37766062736196 423183.3558840532 2931965.495361353 69.40742380352216
423223.1166440212 2931925.448961577 68.37766062736196 423183.3558840532 2931965.495361353 69.40742380352216
423223.1166440212 2931925.448961577 68.37766062736196 423183.3558840532 2931965.495361353 69.39742380352217
423223.1166440212 2931925.448961577 68.37766062736196 423183.3558840532 2931965.495361353 69.39742380352217
423223.1265426172 2931925.4378260137 68.41766071468442 423183.3558840532 2931965.495361353 69.39742380352217
423223.1265426172 2931925.4378260137 68.41766071468442 423183.35581754276 2931965.484285597 69.35742407204475
423223.1662699514 2931925.41543527 68.50766052623268 423183.35581754276 2931965.484285597 69.35742407204475
423223.1662699514 2931925.41543527 68.50766052623268 423183.3556180115 2931965.45105833 69.267424877613
423223.1662699514 2931925.41543527 68.50766052623268 423183.3556180115 2931965.45105833 69.267424877613
423223.20593081083 2931925.3819687716 68.63766060665307 423183.3556180115 2931965.45105833 69.267424877613
423223.20593081083 2931925.3819687716 68.63766060665307 423183.3653170104 2931965.4066954674 69.12742577008882
423223.245591673 2931925.348502273 68.74766068707451 423183.3653170104 2931965.4066954674 69.12742577008882
423223.245591673 2931925.348502273 68.74766068707451 423183.36505096866 2931965.362392445 68.97742684418228
423223.245591673 2931925.348502273 68.74766068707451 423183.36505096866 2931965.362392445 68.97742684418228
423223.2752874618 2931925.315095584 68.83766094904539 423183.36505096866 2931965.362392445 68.97742684418228
423223.2752874618 2931925.315095584 68.83766094904539 423183.3648514374 2931965.3291651784 68.8574276497532
423223.305049728 2931925.2927646493 68.87766094214496 423183.3648514374 2931965.3291651784 68.8574276497532
423223.305049728 2931925.2927646493 68.87766094214496 423183.37461694935 2931965.2958780704 68.77742827370865
423223.305049728 2931925.2927646493 68.87766094214496 423183.37461694935 2931965.2958780704 68.77742827370865
423223.3248469207 2931925.2704935228 68.88766111679328 423183.37461694935 2931965.2958780704 68.77742827370865
423223.3248469207 2931925.2704935228 68.88766111679328 423183.3744839285 2931965.2737265597 68.73742881075685
